date,btc_close,composite_score,target_btc_exposure_pct,red_count,green_count,signal,dca_percentile,dca_multiplier,dca_buy_factor,reserve_balance
2016-02-15,401.07,48.4,54.0,0,0,HOLD,51.1,1.0,1.0,0.0
2016-02-16,406.42,49.02,52.4,0,0,HOLD,56.2,1.0,1.0,0.0
2016-02-17,417.14,50.3,49.3,0,0,HOLD,59.2,1.0,1.0,0.0
2016-02-18,421.4,50.76,48.1,0,0,HOLD,64.0,1.0,1.0,0.0
2016-02-19,419.98,50.57,48.6,0,0,HOLD,58.8,1.0,1.0,0.0
2016-02-20,440.06,52.73,43.2,1,0,HOLD,71.2,1.0,1.0,0.0
2016-02-21,437.87,52.45,43.9,1,0,HOLD,69.8,1.0,1.0,0.0
2016-02-22,437.79,53.31,41.8,0,0,HOLD,72.2,1.0,1.0,0.0
2016-02-23,419.9,51.23,46.9,0,0,HOLD,63.6,1.0,1.0,0.0
2016-02-24,422.72,51.53,46.2,0,0,HOLD,64.3,1.0,1.0,0.0
2016-02-25,423.48,51.58,46.1,0,0,HOLD,64.9,1.0,1.0,0.0
2016-02-26,427.32,52.0,45.0,0,0,HOLD,67.2,1.0,1.0,0.0
2016-02-27,431.3,52.41,44.0,0,0,HOLD,69.5,1.0,1.0,0.0
2016-02-28,432.47,52.51,43.8,0,0,HOLD,71.7,1.0,1.0,0.0
2016-02-29,436.21,52.24,44.4,0,0,HOLD,65.6,1.0,1.0,0.0
2016-03-01,434.04,51.96,45.1,0,0,HOLD,62.9,1.0,1.0,0.0
2016-03-02,425.36,50.91,47.7,0,0,HOLD,54.0,1.0,1.0,0.0
2016-03-03,419.56,50.2,49.5,0,0,HOLD,45.3,1.0,1.0,0.0
2016-03-04,409.48,48.99,52.5,0,0,HOLD,41.5,1.0,1.0,0.0
2016-03-05,399.0,47.74,55.6,0,0,HOLD,31.8,1.0,1.0,0.0
2016-03-06,405.96,48.53,53.7,0,0,HOLD,40.3,1.0,1.0,0.0
2016-03-07,414.87,47.74,55.6,0,0,HOLD,32.4,1.0,1.0,0.0
2016-03-08,411.9,47.36,56.6,0,0,ACCUMULATE,29.0,1.25,1.25,0.0
2016-03-09,412.76,47.43,56.4,0,0,ACCUMULATE,30.0,1.25,1.25,0.0
